Ethnicity,Ethnicity
Caucasian / White,3485
Asian,434
Mixed,300
Middle Eastern,130
Hispanic / Latino,126
African American / Black,90
Native American / Alaskan,43
Pacific Islander,15
Indigenous Australian,6
