Lat Long,Emotion
"-33.7,150.52",10
"-33.88,151.22",10
"22.37,113.99",10
"51.66,-0.6",10
"54.75,25.27",10
"-27.57,153.08",10
"51.09,6.83",10
"-37.78,145.01",10
"-27.31,153.07",10
"47.23,27.5",10
"-37.8,144.9",10
"-27.66,153.14",10
"33.58,-111.83",10
"-35.43,149.09",10
"53.45,-2.26",10
"-31.89,115.95",10
"-27.45,153.06",10
"60.02,24.35",10
"-27.03,153.14",10
"50.35,7.61",10
"33.85,35.57",10
"-33.96,151.08",10
"43.63,-79.44",10
"-23.5,148.16",10
"47.62,-122.31",10
"-37.75,144.94",10
"-36.87,174.75",10
"-35.22,149.05",10
"59.85,17.64",10
"-33.77,151.11",10
"36.31,-82.35",10
"20.71,-103.4",9
"-27.43,153.07",9
"-27.29,152.93",9
"-12.36,130.89",9
"-33.95,18.86",9
"48.17,11.56",9
"-28.22,152.02",9
"-37.73,144.87",9
"44.64,10.93",9
"-27.41,153.01",9
"-33.88,151.21",9
"52.19,0.14",9
"-27.17,151.27",9
"48.42,-123.36",9
"-27.03,152.91",9
"51.5,5.31",9
"54.7,25.17",9
"-27.64,152.84",9
"-27.42,152.99",9
"53.89,-122.78",9
"-26.65,153.09",9
"69.63,18.72",9
"-36.84,174.76",9
"-23.9,151.27",9
"31.67,-94.6",9
"-37.66,175.14",9
"47.61,-122.33",9
"-25.84,148.56",9
"-34.42,150.89",9
"-27.56,153.08",9
"49.1,-122.54",9
"48.43,-123.32",9
"45.51,-73.55",9
"51.42,7.33",9
"-32.89,151.7",9
"-21.14,149.18",9
"31.2,121.45",9
"-27.54,152.9",9
"-27.5,153.09",9
"-27.31,152.98",9
"45.67,9.22",9
"49.67,-112.79",9
"38.6,-90.5",9
"-33.83,151.22",9
"47.52,7.56",9
"-36.85,174.76",9
"49.85,-97.12",9
"-27.46,153.06",9
"-37.66,144.99",9
"44.11,9.97",9
"43.69,-79.4",8
"49.59,-119.68",8
"-33.81,151",8
"49.31,-123.11",8
"52.33,4.95",8
"-32.92,151.75",8
"-27.38,153.12",8
"-38.4,145.83",8
"11.17,-60.76",8
"-35.37,149.05",8
"45.68,8.58",8
"54.93,23.93",8
"-43.59,172.36",8
"49.03,12.11",8
"-21.15,149.2",8
"51.54,-0.01",8
"49.28,-123.13",8
"-27.55,152.96",8
"-37.82,144.95",8
"-27.42,153.02",8
"45.5,-73.57",8
"49.17,-123.95",8
"-38.15,144.33",8
"59.42,24.7",8
"35.66,139.7",8
"-26.64,153.06",8
"51.55,-0.19",8
"45.44,-73.88",8
"60.24,24.99",8
"50.87,8.03",8
"54.21,-1.29",8
"44.9,-68.66",8
"-35.14,147.36",8
"-33.97,151.07",8
"25.04,55.2",8
"25.06,55.24",8
"-27.45,153",8
"-27.55,153.02",8
"-27.5,152.97",8
"-35.21,149.09",8
"51.54,-0.09",8
"50.97,-114.06",8
"44.11,15.23",8
"-27.58,152.98",8
"24.49,54.41",8
"44.52,-89.56",8
"43.58,-79.68",8
"53.83,-1.95",8
"52.54,13.43",8
"53.84,-8.99",8
"-27.56,151.94",8
"-43,147.31",8
"-34.72,149.7",8
"45.86,-122.84",8
"-33.82,151.19",8
"-37.86,144.99",8
"-31.93,115.84",8
"-27.49,153.02",8
"-27.48,153.03",8
"-27.57,153.11",8
"-27.44,153.17",8
"54.69,25.3",8
"34.13,-117.59",8
"51.72,-3.84",8
"-27.25,153.09",8
"40.64,-73.69",8
"51.44,-2.47",8
"-31.74,115.74",8
"-19.28,146.76",8
"32.78,-115.68",8
"30.03,-95.19",8
"-12.4,130.88",8
"37.6,-120.96",8
"11.03,-85.73",8
"-25.29,152.9",8
"59.77,10.23",8
"-33.78,151.03",8
"-16.99,145.42",8
"54.68,25.21",8
"35.65,139.7",8
"54.67,25.25",8
"42.32,-71.1",8
"-37.82,145.03",8
"-33.85,151.21",8
"53.6,-113.37",8
"25.04,55.27",7
"50.71,-113.99",7
"-37.83,145.21",7
"21.02,105.8",7
"55.67,21.16",7
"48.3,14.31",7
"152.96,-27.49",7
"59.9,10.47",7
"54.9,23.93",7
"54.72,25.31",7
"-23.82,151.15",7
"60.56,5.36",7
"51.29,7.03",7
"49.98,8.67",7
"52.39,9.7",7
"-34.03,151.1",7
"-27.48,152.98",7
"41.07,14.27",7
"-27.43,153.03",7
"37.81,-122.24",7
"43.66,-79.38",7
"-27.41,153.06",7
"-35.34,149.06",7
"51.92,4.49",7
"-27.49,152.97",7
"54.67,25.28",7
"37.79,-122.39",7
"60.26,25.02",7
"-27.37,153.03",7
"-27.37,152.92",7
"51.72,4.96",7
"37.77,-122.39",7
"51.18,6.67",7
"-36.86,174.77",7
"-27.48,153.01",7
"-27.63,153.13",7
"-45.82,170.62",7
"-32.92,151.76",7
"52.04,8.48",7
"24.47,75.14",7
"35.78,51.35",7
"33.02,-117.04",7
"52.41,-1.77",7
"-37.8,144.89",7
"54.91,23.98",7
"-41.43,147.13",7
"-41.48,147.16",7
"47.6,-117.38",7
"-27.38,153.03",7
"41.89,-87.62",7
"-40.84,172.84",7
"51.8,-0.66",7
"-26.65,153.06",7
"-37.8,144.95",7
"-26.51,151.87",7
"47.56,-52.71",7
"-35.39,149.09",7
"52.25,20.92",7
"-26.65,153.08",7
"-37.85,145",7
"45.08,-64.36",7
"-27.41,153.03",7
"-19.27,146.74",7
"38.88,-77.07",7
"51.02,-113.96",7
"-42.88,147.33",7
"37.33,-121.87",7
"-42.91,147.33",7
"44.92,-93.64",7
"-27.64,152.87",7
"49.5,8.51",7
"-19.3,146.79",7
"22.3,114.18",7
"50.47,-104.6",7
"-35.16,149.09",7
"-35.25,149.08",7
"43.85,-79.49",7
"-36.89,174.8",7
"43,-71.45",7
"-27.4,152.91",7
"-37.6,143.87",7
"-35.34,149.23",7
"46.83,-71.3",7
"51.97,5.8",7
"50.88,11.6",7
"-19.26,146.81",7
"9.94,-84.14",7
"-30.48,151.64",7
"-27.28,153.01",7
"-123.24,49.26",7
"39.58,-105.05",7
"45.42,10.63",7
"54.91,23.94",7
"53.54,-113.5",7
"1.28,103.84",7
"44.38,-72.01",7
"54.7,25.29",7
"-16.9,145.71",7
"-27.52,152.97",7
"51.14,-114.1",7
"-33.79,151.28",7
"37.74,-122.42",7
"-33.59,120.99",7
"46.84,14.83",7
"51.18,4.38",7
"-37.7,145.09",7
"-38.15,144.36",7
"-27.65,153.18",7
"51.19,-114.5",7
"43.73,-79.56",7
"-36.79,174.73",7
"54.72,25.22",7
"35.98,-115.14",6
"36,-96.02",6
"-37.82,144.94",6
"34.26,-119.22",6
"54.67,25.27",6
"-38.18,144.7",6
"22.29,70.78",6
"43.68,-79.56",6
"13.04,80.16",6
"53.64,9.77",6
"-37.73,144.95",6
"52.08,5.06",6
"40.72,8.55",6
"47.66,-122.35",6
"57.62,18.29",6
"-33.87,151.16",6
"46.18,9.01",6
"51.04,-113.99",6
"52.76,-3.27",6
"-37.83,145.07",6
"49.2,-122.92",6
"144.92,-37.76",6
"-27.44,153.12",6
"49.26,-123.11",6
"-27.52,153.09",6
"43.16,-79.25",6
"-33.82,151.21",6
"33.94,-117.4",6
"43.9,12.88",6
"-34.08,150.78",6
"-27.44,152.97",6
"33.45,-111.82",6
"51.42,6.76",6
"-27.45,152.98",6
"40.58,-105.09",6
"46.77,-92.16",6
"-38.36,145.18",6
"-7.14,-34.84",6
"-43.54,172.61",6
"-39.05,174.08",6
"-12.44,130.84",6
"22.27,114.17",6
"45.51,-122.42",6
"33.28,-116.9",6
"42.23,2.28",6
"54.67,-1.59",6
"22.28,70.79",6
"53.51,-113.67",6
"51.47,-0.19",6
"-32.88,151.69",6
"-37.8,144.94",6
"49.3,-122.75",6
"-35.24,149.04",6
"39.91,-8.14",6
"-37.81,144.94",6
"40.58,-74.93",6
"-27.23,152.98",6
"39.51,-0.42",6
"45.46,-73.58",6
"-27.39,153.03",6
"-29.19,115.44",6
"-27.49,152.96",6
"-12.35,130.88",6
"50.48,-3.53",6
"-27.64,153.15",6
"-41.29,174.76",6
"-19.31,146.75",6
"-31.93,115.83",6
"-27.38,153.05",6
"-27.69,153.01",6
"12.91,77.55",6
"51.82,10.76",6
"52.53,13.33",6
"37.38,-122.02",6
"-34.92,138.6",6
"-26.67,153.03",6
"-27.61,152.92",6
"-33.79,151.13",6
"51.93,6.06",6
"40.48,-74.43",6
"52.31,-106.97",6
"-26.57,148.78",6
"-37.82,145.04",6
"40.36,-3.54",6
"-33.34,115.67",6
"43.76,-79.5",6
"42.73,-114.5",6
"45.63,8.38",6
"42.38,-71.09",6
"53.61,-113.53",6
"-33.87,18.53",6
"-37.84,144.87",6
"53.59,10",6
"39.88,-88.98",6
"-37.82,144.99",6
"60.25,25.01",6
"60.16,24.93",6
"29.03,-82.23",6
"-27.52,153.01",6
"-27.8,153.1",6
"-35.26,149.11",6
"47.7,-122.58",6
"-27.53,153.09",6
"55.58,13.04",6
"-33.82,151.2",6
"-33.87,151.18",6
"47.61,-122.32",6
"40.42,-86.8",6
"-17,145.74",6
"1.3,103.85",6
"-31.98,115.9",6
"40.71,-73.78",6
"20.67,-103.36",6
"-34.95,138.58",6
"-33.89,151.21",6
"48.32,10.04",6
"47.37,-122.19",6
"51.09,16.97",6
"53.81,-1.52",6
"-31.94,115.86",6
"149.1,-35.4",6
"52.06,4.29",6
"40.81,-73.95",6
"-31.73,115.76",6
"52.47,-1.94",6
"-37.84,145.04",6
"42,-87.66",6
"38.25,-85.58",6
"48.72,10.07",6
"-35.03,150.67",6
"49.17,-121.95",6
"51.88,-4.09",6
"-35.14,138.48",6
"51.47,11.97",6
"51.48,-0.18",6
"53.56,-2.34",6
"37.55,-122.31",6
"-21.14,149.17",6
"37.32,-93.49",6
"-37.76,144.95",6
"51.57,4.98",6
"33.69,-117.89",6
"59.31,18.07",6
"48.11,11.52",6
"-33.84,151.21",6
"-25.29,152.89",5
"53.51,-8.84",5
"-33.78,151.12",5
"-27.38,153.09",5
"19.08,72.9",5
"-27.45,153.16",5
"-33.83,151.07",5
"-36.85,174.74",5
"1.29,103.79",5
"52.39,13.29",5
"45.4,-75.7",5
"52.2,8.12",5
"53.47,-113.64",5
"45,7.66",5
"44.65,-103.84",5
"49.03,-122.31",5
"-34.49,-58.56",5
"47.58,-122.3",5
"50.45,-104.54",5
"-27.48,153.15",5
"45.58,9.94",5
"-27.57,153.1",5
"39.84,-75.16",5
"43.38,-80.97",5
"-27.96,153.38",5
"-27.36,153.04",5
"49.33,-123.17",5
"53.98,-0.97",5
"-37.82,145.33",5
"-33.83,151.12",5
"-27.51,153.01",5
"54.7,25.3",5
"52.45,13.52",5
"50.91,4.05",5
"53.56,10.03",5
"-30.52,151.63",5
"-37.91,144.99",5
"51.61,0.3",5
"43.43,-80.29",5
"43.55,10.31",5
"49.25,-123.17",5
"-34.35,150.89",5
"-27.51,153.16",5
"45.43,10.74",5
"52.55,13.41",5
"47.14,-122.13",5
"54.92,23.92",5
"59.34,18.09",5
"-37.79,144.94",5
"51.92,4.46",5
"-27.51,153.04",5
"-36.09,146.91",5
"51.27,14.14",5
"-7.11,-34.83",5
"51.46,12.66",5
"-28.15,153.48",5
"49.87,-106.55",5
"-30.72,121.46",5
"52.16,4.49",5
"-27.56,151.95",5
"21.88,-159.47",5
"45.49,12.1",5
"48.43,-123.39",5
"-27.32,153.04",5
"53.45,-2.33",5
"41.27,-73.2",5
"41.89,-87.82",5
"-27.62,153.13",5
"-31.9,115.82",5
"-36.87,174.76",5
"-37.75,144.99",5
"-34.91,138.6",5
"43.01,-81.27",5
"53.22,6.58",5
"47.13,9.51",5
"50.72,-113.92",5
"-27.29,152.98",5
"-27.29,152.95",5
"51.36,10.12",5
"-35.45,149.1",5
"50,8.3",5
"49.19,-122.8",5
"-27.4,153.02",5
"52.26,-7.08",5
"51.48,-0.27",5
"145.06,-38.24",5
"52.51,6.35",5
"49.48,6.08",5
"30.22,-97.76",5
"55.68,21.16",5
"-27.42,153.03",5
"54.72,25.25",5
"-6.18,106.77",5
"45.41,-75.69",5
"40.46,-3.68",5
"47.11,-122.34",5
"144.96,-37.79",5
"51.58,-0.1",5
"45.48,-122.62",5
"49.82,9.95",5
"-36.37,145.39",5
"-37.83,144.96",5
"47.69,-122.36",5
"-27.42,153.05",5
"-27.53,152.98",5
"35.11,-106.59",5
"45.66,8.77",5
"-27.51,152.96",5
"59.42,24.53",5
"41.51,12.76",5
"42.83,-80.29",5
"-27.45,153.1",5
"-33.35,115.67",5
"45.49,9.23",5
"25.05,55.27",5
"55.07,24.25",5
"37.99,-91.62",5
"43.04,-77.65",5
"51.9,4.47",5
"-33.79,151.18",5
"38.28,-122.01",5
"-30.48,153.01",5
"-27.94,153.38",5
"42.37,-71.11",5
"49.28,-122.77",5
"57.33,-2.83",5
"-37.85,145.27",5
"42.14,24.73",5
"45.29,-75.86",5
"41.94,12.52",5
"-33.72,151.16",5
"49.99,-110.65",5
"41.76,-93.58",5
"47.61,-65.64",5
"-32.92,151.72",5
"33.14,-117.08",5
"46.54,24.56",5
"43.78,-79.41",5
"-27.41,152.97",5
"51.44,7.21",5
"50.91,6.94",5
"-33.76,150.95",5
